surface_id,input_format,z_field,grid_rows,grid_columns,vertex_count,valid_vertex_count,no_data_vertex_count,triangle_count,grid_z_org_available,inline_index_min,inline_index_max,profile_index_min,profile_index_max,sample_index_min,sample_index_max,inline_header_min,inline_header_max,crossline_header_min,crossline_header_max,sample_coordinate_min,sample_coordinate_max,original_sample_index_min,original_sample_index_max
line_0_c4,legacy-grid-pickle,grid_z,101,318,32118,24907,7211,48922,False,0,100,357,674,422.659954,596.8724,400,500,1314,1948,3381.27963,4774.9792,,
line_0_c7,legacy-grid-pickle,grid_z,101,232,23432,19933,3499,39189,False,0,100,516,747,404.492912,559.224184,400,500,1632,2094,3235.9433,4473.79347,,
line_0_c8,legacy-grid-pickle,grid_z,83,211,17513,12795,4718,25000,False,0,82,746,956,262.058245,333.754815,400,482,2092,2512,2096.46596,2670.03852,,
line_0_c14,legacy-grid-pickle,grid_z,25,370,9250,8071,1179,15359,False,0,24,1002,1371,225.007538,485.757137,400,424,2604,3342,1800.0603,3886.0571,,
line_7_c18,legacy-grid-pickle,grid_z,59,106,6254,5658,596,10989,False,7,65,1138,1243,267.979788,322.40253,407,465,2876,3086,2143.83831,2579.22024,,
line_7_c34,legacy-grid-pickle,grid_z,28,504,14112,11422,2690,21776,False,0,27,1575,2078,423.329584,760.510584,400,427,3750,4756,3386.63667,6084.08467,,
line_40_c7,legacy-grid-pickle,grid_z,52,99,5148,4437,711,8587,False,27,78,811,909,320.140133,396.877551,427,478,2222,2418,2561.12106,3175.02041,,
line_43_c23,legacy-grid-pickle,grid_z,78,424,33072,27710,5362,54372,False,0,77,1285,1708,163.270554,446.256238,400,477,3170,4016,1306.16443,3570.0499,,
line_49_c35,legacy-grid-pickle,grid_z,40,150,6000,4699,1301,9020,False,34,73,1822,1971,323.759622,475.333215,434,473,4244,4542,2590.07697,3802.66572,,
line_52_c0,legacy-grid-pickle,grid_z,40,331,13240,11963,1277,23167,False,52,91,121,451,482.089301,588.449545,452,491,842,1502,3856.71441,4707.59636,,
line_57_c25,legacy-grid-pickle,grid_z,66,369,24354,17127,7227,33449,False,29,94,1576,1944,426.233426,732.688675,429,494,3752,4488,3409.86741,5861.5094,,
line_61_c20,legacy-grid-pickle,grid_z,44,268,11792,10492,1300,20378,False,24,67,1506,1773,186.757952,462.918152,424,467,3612,4146,1494.06361,3703.34521,,
line_77_c14,legacy-grid-pickle,grid_z,101,400,40400,35355,5045,69714,False,0,100,811,1210,215.105959,446.144728,400,500,2222,3020,1720.84767,3569.15783,,
line_79_c34,legacy-grid-pickle,grid_z,55,299,16445,14437,2008,28117,False,39,93,1634,1932,179.300423,558.344719,439,493,3868,4464,1434.40338,4466.75776,,
line_89_c6,legacy-grid-pickle,grid_z,101,456,46056,41956,4100,82757,False,0,100,548,1003,341.190744,574.436942,400,500,1696,2606,2729.52596,4595.49553,,
line_89_c24,legacy-grid-pickle,grid_z,101,579,58479,51027,7452,100635,False,0,100,1128,1706,138.562914,753.739561,400,500,2856,4012,1108.50331,6029.91649,,
line_94_c19,legacy-grid-pickle,grid_z,28,270,7560,7155,405,13714,False,73,100,1334,1603,152.304563,352.29654,473,500,3268,3806,1218.4365,2818.37232,,
line_97_c10,legacy-grid-pickle,grid_z,66,541,35706,30655,5051,60154,False,35,100,979,1519,155.958179,669.968985,435,500,2558,3638,1247.66543,5359.75188,,
